time,source,target,x,u,t_last_spike
190.0,1220,491,1.0,0.19,-1.0
190.0,1221,7018,1.0,0.19,-1.0
190.0,1222,2108,1.0,0.19,-1.0
190.0,1223,4151,1.0,0.19,-1.0
190.0,1224,6964,1.0,0.19,-1.0
190.0,1225,5645,1.0,0.19,-1.0
190.0,1226,6306,1.0,0.19,-1.0
190.0,1227,4690,0.6561,0.3439,131.4
190.0,1228,3808,0.6561,0.3439,88.45
190.0,1229,843,1.0,0.19,-1.0
190.0,1230,1888,1.0,0.19,-1.0
190.0,1231,4349,1.0,0.19,-1.0
190.0,1232,786,1.0,0.19,-1.0
190.0,1233,6357,1.0,0.19,-1.0
190.0,1234,5980,1.0,0.19,-1.0
190.0,1235,265,1.0,0.19,-1.0
190.0,1236,1328,1.0,0.19,-1.0
190.0,1237,4078,1.0,0.19,-1.0
190.0,1238,7285,1.0,0.19,-1.0
190.0,1239,5659,1.0,0.19,-1.0
190.0,1240,7658,1.0,0.19,-1.0
190.0,1241,6856,1.0,0.19,-1.0
190.0,1242,197,1.0,0.19,-1.0
190.0,1243,872,1.0,0.19,-1.0
190.0,1244,6172,0.6561,0.3439,124.8
190.0,1245,5240,1.0,0.19,-1.0
190.0,1246,5584,0.6561,0.3439,163.3
190.0,1247,2954,1.0,0.19,-1.0
190.0,1248,3220,1.0,0.19,-1.0
190.0,1249,3664,1.0,0.19,-1.0
190.0,1250,5827,1.0,0.19,-1.0
190.0,1251,514,1.0,0.19,-1.0
190.0,1252,3124,0.6561,0.3439,167.9
190.0,1253,5176,1.0,0.19,-1.0
190.0,1254,4356,1.0,0.19,-1.0
190.0,1255,2102,1.0,0.19,-1.0
190.0,1256,3104,1.0,0.19,-1.0
190.0,1257,1095,0.6561,0.3439,173.85
190.0,1258,3871,0.6561,0.3439,116.0
190.0,1259,2944,1.0,0.19,-1.0
190.0,1260,7113,1.0,0.19,-1.0
190.0,1261,3920,1.0,0.19,-1.0
190.0,1262,348,1.0,0.19,-1.0
190.0,1263,3562,1.0,0.19,-1.0
190.0,1264,3016,1.0,0.19,-1.0
190.0,1265,2874,0.6561,0.3439,149.8
190.0,1266,1628,1.0,0.19,-1.0
190.0,1267,182,1.0,0.19,-1.0
190.0,1268,4399,0.6561,0.3439,151.3
190.0,1269,6777,1.0,0.19,-1.0
190.0,1270,6011,1.0,0.19,-1.0
190.0,1271,7112,0.6561,0.3439,125.45
190.0,1272,617,0.6561,0.3439,120.60000000000001
190.0,1273,7186,0.6561,0.3439,29.5
190.0,1274,5364,1.0,0.19,-1.0
190.0,1275,2292,1.0,0.19,-1.0
190.0,1276,6337,1.0,0.19,-1.0
190.0,1277,7956,1.0,0.19,-1.0
190.0,1278,984,1.0,0.19,-1.0
190.0,1279,2516,1.0,0.19,-1.0
190.0,1280,5581,1.0,0.19,-1.0
190.0,1281,6168,1.0,0.19,-1.0
190.0,1282,3186,1.0,0.19,-1.0
190.0,1283,2489,1.0,0.19,-1.0
190.0,1284,1762,0.6561,0.3439,159.95000000000002
190.0,1285,4795,1.0,0.19,-1.0
190.0,1286,4331,1.0,0.19,-1.0
190.0,1287,3384,0.6561,0.3439,150.20000000000002
190.0,1288,2411,1.0,0.19,-1.0
190.0,1289,3482,0.6561,0.3439,43.800000000000004
190.0,1290,7138,1.0,0.19,-1.0
190.0,1291,4342,1.0,0.19,-1.0
190.0,1292,3560,1.0,0.19,-1.0
190.0,1293,2161,1.0,0.19,-1.0
190.0,1294,7743,1.0,0.19,-1.0
190.0,1295,1126,1.0,0.19,-1.0
190.0,1296,2017,1.0,0.19,-1.0
190.0,1297,5928,1.0,0.19,-1.0
190.0,1298,4977,1.0,0.19,-1.0
190.0,1299,1096,1.0,0.19,-1.0
190.0,1300,7522,1.0,0.19,-1.0
190.0,1301,7328,0.6561,0.3439,57.7
190.0,1302,6130,1.0,0.19,-1.0
